idx,query,site_or_store,type,notes,status_code,latency_ms,top_names,top_categories,top_ids,raw_results_count,error,judgement
1,ма,,,Most frequent 2-char Cyrillic stop on Samokat,200,206.3,Масло подсолнечное premium «Южное» 900мл | Мармелад жевательный mix «KidsBox» 150г | Масло сливочное безлактозное «Teos» 1кг | Масло подсолнечное premium «Helio» 10000мл | Масло подсолнечное premium «Helio» 500мл,Бакалея | Кондитерские изделия | Молочные продукты | Бакалея | Бакалея,P0046 | P0113 | P0116 | P0150 | P0163,10,,
2,масл 10л,,,B2B style digits merged with unit,200,20.8,Масло подсолнечное premium «Helio» 10000мл | Масло подсолнечное premium «Rosa» 10000мл | Масло подсолнечное premium «Helio» 10000мл,Бакалея | Бакалея | Бакалея,P0150 | P0491 | P0896,3,,
3,масло сл,,,Stops before final syllable,200,11.1,Масло сливочное безлактозное «Teos» 1кг | Масло сливочное премиум «Teos» 200г | Масло сливочное безлактозное «Teos» 1кг | Масло сливочное безлактозное «Teos» 1кг | Масло сливочное фермерское «Teos» 225г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0116 | P0544 | P0713 | P0809 | P0944,10,,
4,масл раст horeca,,,Industry keyword seen in ClickHouse logs,200,9.1,Масло подсолнечное premium «Южное» 900мл | Масло сливочное безлактозное «Teos» 1кг | Масло подсолнечное premium «Helio» 10000мл | Масло подсолнечное premium «Helio» 500мл | Масло подсолнечное для HoReCa «ChefPro» 3000мл,Бакалея | Молочные продукты | Бакалея | Бакалея | Бакалея,P0046 | P0116 | P0150 | P0163 | P0238,10,,
5,йог гр,,,Word boundary removed mid-term,200,10.4,Йогурт греческий черника «Mediterran» 140г | Йогурт греческий натуральный «Mykonos» 900г | Йогурт греческий без сахара «Ionian» 500г | Йогурт греческий черника «Mediterran» 140г | Йогурт греческий персик «Mediterran» 900г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0012 | P0042 | P0057 | P0164 | P0243,10,,
6,йог гр нат,,,Adds third token fragment,200,10.8,Йогурт греческий натуральный «Mykonos» 900г | Йогурт греческий натуральный «Mediterran» 170г | Йогурт греческий натуральный «Mykonos» 500г | Йогурт греческий натуральный «Mediterran» 140г | Йогурт греческий натуральный «Teos» 150г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0042 | P0494 | P0585 | P0723 | P0921,10,,
7,греч кр,,,Bare consonant cluster; common in Dixy feed,200,7.3,Крупа гречневая ядрица «Русская крупа» 15кг | Крупа гречневая ядрица «Русская крупа» 900г | Крупа гречневая organic «Русская крупа» 15кг | Крупа гречневая ядрица «Русская крупа» 1000г | Крупа гречневая organic «Русская крупа» 15кг,Бакалея | Бакалея | Бакалея | Бакалея | Бакалея,P0007 | P0132 | P0161 | P0169 | P0429,10,,
8,греч не,,,Helps test disambiguation logic,200,6.3,Йогурт греческий черника «Mediterran» 140г | Йогурт греческий натуральный «Mykonos» 900г | Йогурт греческий без сахара «Ionian» 500г | Йогурт греческий черника «Mediterran» 140г | Йогурт греческий персик «Mediterran» 900г,Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты | Молочные продукты,P0012 | P0042 | P0057 | P0164 | P0243,10,,
9,bon pa,,,Cyrillic brand typed in Latin,200,6.6,Мармелад жевательный ягодный «Bon Paris» 75г | Шоколад премиальный молочный «Bon Paris» 90г | Мармелад жевательный sour «Bon Paris» 150г | Шоколад премиальный без сахара «Bon Paris» 200г | Мармелад жевательный sour «Bon Paris» 90г,Кондитерские изделия | Кондитерские изделия | Кондитерские изделия | Кондитерские изделия | Кондитерские изделия,P0028 | P0330 | P0581 | P0633 | P0638,10,,
10,fran сахар,,,Latin+Russian mix,200,7.1,Шоколад премиальный без сахара «Lattea» 100г | Йогурт греческий без сахара «Ionian» 500г | Сахар-песок рафинированный «Crystal» 900г | Сахар-песок 1кг «SugarBox» 900г | Протеиновый батончик без сахара «FitFuel» 40г,Кондитерские изделия | Молочные продукты | Бакалея | Бакалея | Здоровое питание,P0049 | P0057 | P0084 | P0193 | P0261,10,,
11,холс,,,Zero-hit regression we track,200,4.4,Леденцы ментоловые «Halls» 35г,Кондитерские изделия,P1001,1,,
12,хозяйст м,,,Captures stemmed nouns,200,5.7,Мука пшеничная HoReCa 25 кг «Старый Мельник» 900г | Мука пшеничная цельнозерновая «Старый Мельник» 900г | Мука пшеничная HoReCa 25 кг «Старый Мельник» 5кг | Энергетический напиток маракуйя «Volt» 500мл | Пакеты для мусора 60л «StrongHold» 30шт,Бакалея | Бакалея | Бакалея | Напитки | Хозяйственные товары,P0002 | P0446 | P0892 | P0003 | P0005,10,,
13,крем д рук,,,Squeezed prepositions/words,200,6.5,Крем для рук антибактериальный «Atelier Skin» 50мл | Крем для рук коллаген «Atelier Skin» 50мл | Крем для рук коллаген «Herbal Line» 100мл | Крем для рук питательный «Care&Go» 100мл | Крем для рук антибактериальный «Care&Go» 150мл,Косметика и гигиена | Косметика и гигиена | Косметика и гигиена | Косметика и гигиена | Косметика и гигиена,P0018 | P0130 | P0202 | P0365 | P0400,10,,
14,кар тоф,,,Space inside word,200,5.1,Шоколад премиальный с карамелью «Nordic Choco» 200г | Шоколад премиальный с карамелью «Nordic Choco» 80г,Кондитерские изделия | Кондитерские изделия,P0379 | P0388,2,,
